78.96 C32 -4.46 394.80 0.0016 1125.4 97.6 1615.6 1.0463 1.0234 0.9303 0.0010 0.0010 0.0010 6.0 1.5 1.2 1.022 1.100 1.125 1.133 0.624 0.605 0.219 1.076 340 70 237 3 12 78 1.0423 1.0233 0.9343 -0.0092 0.0155 0.0111 07/15/96
79.28 C33 -4.46 527.70 0.0011 1874.5 624.7 1823.0 1.0472 1.0090 0.9438 0.0007 0.0007 0.0007 2.4 1.4 0.9 1.038 1.069 1.110 1.111 0.286 0.262 0.453 1.030 254 359 140 12 25 61 1.0029 1.0365 0.9606 0.0171 -0.0254 0.0189 07/15/96
79.58 C34 -4.46 496.70 0.0025 650.0 25.7 1030.5 1.0501 1.0321 0.9179 0.0016 0.0016 0.0016 11.5 1.8 1.6 1.017 1.124 1.144 1.158 0.743 0.727 0.146 1.105 175 268 52 10 14 73 1.0458 1.0262 0.9280 -0.0061 -0.0248 -0.0225 07/15/96
79.71 C35 -4.46 495.10 0.0008 2816.6 980.0 2680.3 1.0450 1.0081 0.9469 0.0005 0.0005 0.0005 1.9 1.1 0.7 1.037 1.065 1.104 1.105 0.269 0.246 0.464 1.027 70 328 161 4 70 19 0.9637 1.0348 1.0015 0.0285 -0.0037 0.0191 07/15/96
79.71 C35 -4.46 495.20 0.0010 2022.3 679.6 1958.5 1.0452 1.0085 0.9463 0.0006 0.0006 0.0006 2.3 1.3 0.8 1.036 1.066 1.104 1.106 0.282 0.259 0.455 1.028 69 326 161 5 71 19 0.9631 1.0346 1.0023 0.0291 -0.0034 0.0189 07/15/96
80.04 C36 -4.46 907.10 0.0010 2748.0 413.0 3531.8 1.0462 1.0181 0.9357 0.0006 0.0006 0.0006 2.9 1.0 0.7 1.028 1.088 1.118 1.123 0.511 0.490 0.292 1.059 280 15 155 13 18 68 1.0090 1.0417 0.9462 0.0000 -0.0186 0.0275 07/15/96
80.32 C37 -4.46 290.90 0.0008 2547.2 1244.1 1967.4 1.0444 1.0035 0.9521 0.0005 0.0005 0.0005 1.7 1.3 0.7 1.041 1.054 1.097 1.097 0.137 0.114 0.569 1.013 208 298 114 1 15 75 1.0347 1.0098 0.9555 0.0183 -0.0120 0.0046 07/15/96
80.87 C38 -4.46 685.60 0.0003 3840.5 1863.7 2980.4 1.0222 1.0018 0.9760 0.0002 0.0002 0.0002 1.4 1.1 0.6 1.020 1.026 1.047 1.047 0.128 0.117 0.567 1.006 220 130 39 7 0 83 1.0133 1.0101 0.9766 0.0098 -0.0034 -0.0041 07/15/96
81.23 C39 -4.46 616.00 0.0009 2972.0 8.0 5357.4 1.0349 1.0311 0.9339 0.0006 0.0006 0.0006 20.0 0.8 0.8 1.004 1.104 1.108 1.124 0.929 0.926 0.038 1.100 278 187 23 3 13 77 1.0271 1.0341 0.9389 -0.0023 -0.0085 -0.0196 07/15/96
81.81 C40 -4.46 1747.00 0.0016 3684.7 254.3 5474.7 1.0786 1.0431 0.8783 0.0010 0.0010 0.0010 3.7 0.8 0.7 1.034 1.188 1.228 1.247 0.674 0.645 0.196 1.149 156 250 33 12 17 69 1.0559 1.0423 0.9018 -0.0228 -0.0276 -0.0536 07/15/96
